"site.names","dataset.id","site.id","lon","lat"
"Basin Pond",237,234,-70.05,44.47
"Big Pond",274,268,-78.55,39.766667
"Boundary Pond",308,302,-70.675,45.566667
"Brandreth Bog",309,303,-74.683333,43.916667
"Carbuncle Pond",338,331,-71.783333,41.7
"Conroy Lake",503,491,-67.883333,46.283333
"Crider's Pond",523,510,-77.55,39.966667
"Deer Lake Bog",673,657,-71.833333,44.033333
"Donut Pond Bog",721,701,-70.058333,41.275
"Forge Pond",845,819,-74.399167,40.855833
"Greenwater Pond",985,955,-73.316667,42.283333
"Hawley Bog Pond-1",1012,981,-72.883333,42.566667
"Helmetta Bog",1031,998,-74.433333,40.383333
"Kinsman Pond",1518,1481,-71.733333,44.133333
"Longswamp",1661,1610,-75.666667,40.483333
"Loon Pond",1663,1611,-68.2,45.033333
"Lost Pond",1667,1615,-71.251389,44.246944
"Mashapaug Pond",1712,1656,-71.433333,41.783333
"Monhegan Island Meadow",1763,1707,-69.3,43.766667
"No Bottom Pond",1814,1756,-70.208333,41.283333
"Panther Run Pond",1848,1789,-77.416667,40.8
"Poland Spring Pond",1961,1896,-70.35,44.033333
"Protection Bog",1980,1914,-78.466667,42.622222
"Rose Lake",2289,2212,-77.925,41.916667
"Ross Pond",2292,2214,-69.410278,43.921389
"Sinkhole Pond",2391,2308,-70.35,43.966667
"Stockbridge Bowl",2604,2517,-73.15,42.333333
"Swartswood Lake",2621,2531,-74.83698,41.072335
"Szabo Pond",2623,2533,-74.483333,40.4
"Taupawshas Bog",2629,2539,-70.058333,41.275
"Unknown Pond",2886,2791,-70.633333,45.6
"Valhalla Hollow",2902,2805,-74.370833,44.308611
"Woodcliff Lake",3034,2936,-74.03,41.02
"Upper Wallface Pond",3830,745,-74.054167,44.146389
"West Sand Lake Peat Bog",3858,563,-73.6,42.633333
"South Bog",14797,9944,-67.20294,44.717555
"South Dansville Buried Peat",15199,10106,-77.641,42.49185
"Byron-Bergen Swamp (Site 1)",15296,10157,-78.014515,43.09791
"Prospect Hill II",15820,10389,-72.18,42.5625
"Prospect Hill VII",15821,10390,-72.18,42.5625
"Slab City",15856,10400,-72.1775,42.508
"Slab City",15857,10400,-72.1775,42.508
"Pawelski Farm",16181,10518,-74.43065,41.33395
"Lost Swamp",17880,11805,-72.4211,42.82814
