"species","fallspeed","PPEs","PPE.errors"
"Ash",0.0408653846153846,1.77096205774807,4.58390155530733
"Beech",0.0408653846153846,0.677253392607519,0.847961556484911
"Birch",0.0408653846153846,4.16810102063901,4.31540753728422
"Elm",0.0408653846153846,2.82431304446609,6.9577289823986
"Hemlock",0.0408653846153846,1.38789237060516,1.34098489519878
"Hickory",0.0408653846153846,1.01289089455047,1.56565735577642
"Maple",0.0408653846153846,0.512168041327143,1.30681614039011
"Oak",0.0408653846153846,1,1
"Fir",0.0408653846153846,0.656791737286189,1.04577231876604
"Alder",0.0408653846153846,2.99683791471878,3.72603136937648
"Pine",0.0408653846153846,4.43471448197062,4.40077396741402
"Poplar",0.0408653846153846,0.750495128471638,2.92474517468782
"Spruce",0.0408653846153846,0.59749169068684,0.809324523566696
